departamento,campania_inicio
12 De Octubre,1981
12 De Octubre,1982
12 De Octubre,1983
12 De Octubre,1984
12 De Octubre,1985
12 De Octubre,1986
12 De Octubre,1987
12 De Octubre,1988
12 De Octubre,1989
12 De Octubre,1990
12 De Octubre,1991
12 De Octubre,1992
12 De Octubre,1993
12 De Octubre,1994
12 De Octubre,1995
12 De Octubre,1996
12 De Octubre,1997
12 De Octubre,1998
12 De Octubre,1999
12 De Octubre,2001
12 De Octubre,2002
12 De Octubre,2003
12 De Octubre,2004
12 De Octubre,2005
12 De Octubre,2006
12 De Octubre,2007
12 De Octubre,2009
12 De Octubre,2010
12 De Octubre,2011
12 De Octubre,2012
12 De Octubre,2013
12 De Octubre,2014
12 De Octubre,2015
12 De Octubre,2016
12 De Octubre,2017
1° De Mayo,1981
1° De Mayo,1982
1° De Mayo,1983
1° De Mayo,1984
1° De Mayo,1985
1° De Mayo,1986
1° De Mayo,1987
1° De Mayo,1988
1° De Mayo,1989
1° De Mayo,1993
1° De Mayo,1994
1° De Mayo,1995
1° De Mayo,1996
1° De Mayo,1997
1° De Mayo,1998
1° De Mayo,1999
1° De Mayo,2000
1° De Mayo,2001
1° De Mayo,2002
1° De Mayo,2003
1° De Mayo,2004
1° De Mayo,2005
1° De Mayo,2006
1° De Mayo,2007
1° De Mayo,2009
1° De Mayo,2010
1° De Mayo,2011
1° De Mayo,2012
1° De Mayo,2013
2 De Abril,1995
2 De Abril,1996
2 De Abril,1997
2 De Abril,1998
2 De Abril,1999
2 De Abril,2001
2 De Abril,2002
2 De Abril,2003
2 De Abril,2004
2 De Abril,2005
2 De Abril,2006
2 De Abril,2007
2 De Abril,2009
2 De Abril,2010
2 De Abril,2011
2 De Abril,2012
2 De Abril,2013
2 De Abril,2014
2 De Abril,2015
2 De Abril,2016
2 De Abril,2017
25 De Mayo,1981
25 De Mayo,1982
25 De Mayo,1983
25 De Mayo,1984
25 De Mayo,1985
25 De Mayo,1986
25 De Mayo,1987
25 De Mayo,1988
25 De Mayo,1989
25 De Mayo,1990
25 De Mayo,1991
25 De Mayo,1992
25 De Mayo,1993
25 De Mayo,1994
25 De Mayo,1995
25 De Mayo,1996
25 De Mayo,1997
25 De Mayo,1998
25 De Mayo,1999
25 De Mayo,2000
25 De Mayo,2001
25 De Mayo,2002
25 De Mayo,2003
25 De Mayo,2004
25 De Mayo,2005
25 De Mayo,2006
25 De Mayo,2007
25 De Mayo,2008
25 De Mayo,2009
25 De Mayo,2010
25 De Mayo,2011
25 De Mayo,2012
25 De Mayo,2013
25 De Mayo,2014
25 De Mayo,2015
25 De Mayo,2016
25 De Mayo,2017
9 De Julio,1981
9 De Julio,1982
9 De Julio,1983
9 De Julio,1984
9 De Julio,1985
9 De Julio,1986
9 De Julio,1987
9 De Julio,1988
9 De Julio,1989
9 De Julio,1990
9 De Julio,1991
9 De Julio,1992
9 De Julio,1993
9 De Julio,1994
9 De Julio,1995
9 De Julio,1996
9 De Julio,1997
9 De Julio,1998
9 De Julio,1999
9 De Julio,2000
9 De Julio,2001
9 De Julio,2002
9 De Julio,2003
9 De Julio,2004
9 De Julio,2005
9 De Julio,2006
9 De Julio,2007
9 De Julio,2008
9 De Julio,2009
9 De Julio,2010
9 De Julio,2011
9 De Julio,2012
9 De Julio,2013
9 De Julio,2014
9 De Julio,2015
9 De Julio,2016
9 De Julio,2017
Adolfo Alsina,1981
Adolfo Alsina,1982
Adolfo Alsina,1983
Adolfo Alsina,1984
Adolfo Alsina,1985
Adolfo Alsina,1986
Adolfo Alsina,1987
Adolfo Alsina,1988
Adolfo Alsina,1990
Adolfo Alsina,1991
Adolfo Alsina,1992
Adolfo Alsina,1993
Adolfo Alsina,1994
Adolfo Alsina,1996
Adolfo Alsina,1997
Adolfo Alsina,1998
Adolfo Alsina,1999
Adolfo Alsina,2000
Adolfo Alsina,2001
Adolfo Alsina,2002
Adolfo Alsina,2003
Adolfo Alsina,2004
Adolfo Alsina,2005
Adolfo Alsina,2006
Adolfo Alsina,2007
Adolfo Alsina,2008
Adolfo Alsina,2009
Adolfo Alsina,2010
Adolfo Alsina,2011
Adolfo Alsina,2012
Adolfo Alsina,2013
Adolfo Alsina,2014
Adolfo Alsina,2015
Adolfo Alsina,2016
Adolfo Alsina,2017
Adolfo Gonzales Chaves,1981
Adolfo Gonzales Chaves,1982
Adolfo Gonzales Chaves,1983
Adolfo Gonzales Chaves,1984
Adolfo Gonzales Chaves,1985
Adolfo Gonzales Chaves,1986
Adolfo Gonzales Chaves,1987
Adolfo Gonzales Chaves,1988
Adolfo Gonzales Chaves,1989
Adolfo Gonzales Chaves,1990
Adolfo Gonzales Chaves,1991
Adolfo Gonzales Chaves,1993
Adolfo Gonzales Chaves,1994
Adolfo Gonzales Chaves,1995
Adolfo Gonzales Chaves,1996
Adolfo Gonzales Chaves,1997
Adolfo Gonzales Chaves,1999
Adolfo Gonzales Chaves,2000
Adolfo Gonzales Chaves,2001
Adolfo Gonzales Chaves,2002
Adolfo Gonzales Chaves,2003
Adolfo Gonzales Chaves,2004
Adolfo Gonzales Chaves,2005
Adolfo Gonzales Chaves,2006
Adolfo Gonzales Chaves,2007
Adolfo Gonzales Chaves,2009
Adolfo Gonzales Chaves,2010
Adolfo Gonzales Chaves,2011
Adolfo Gonzales Chaves,2012
Adolfo Gonzales Chaves,2013
Adolfo Gonzales Chaves,2014
Adolfo Gonzales Chaves,2015
Adolfo Gonzales Chaves,2016
Adolfo Gonzales Chaves,2017
Aguirre,1981
Aguirre,1982
Aguirre,1983
Aguirre,1984
Aguirre,1985
Aguirre,1986
Aguirre,1987
Aguirre,1988
Aguirre,1989
Aguirre,1990
Aguirre,1991
Aguirre,1993
Aguirre,1994
Aguirre,1995
Aguirre,1996
Aguirre,1997
Aguirre,1998
Aguirre,2002
Aguirre,2003
Aguirre,2004
Aguirre,2005
Aguirre,2006
