departamento,campania_inicio
12 De Octubre,1982
12 De Octubre,1983
12 De Octubre,1984
12 De Octubre,1985
12 De Octubre,1986
12 De Octubre,1987
12 De Octubre,1988
12 De Octubre,1989
12 De Octubre,1990
12 De Octubre,1991
12 De Octubre,1992
12 De Octubre,1995
12 De Octubre,1996
12 De Octubre,1997
12 De Octubre,1998
12 De Octubre,1999
12 De Octubre,2000
12 De Octubre,2001
12 De Octubre,2002
12 De Octubre,2004
12 De Octubre,2005
12 De Octubre,2006
12 De Octubre,2007
12 De Octubre,2008
12 De Octubre,2009
12 De Octubre,2010
12 De Octubre,2012
12 De Octubre,2013
12 De Octubre,2014
12 De Octubre,2015
12 De Octubre,2016
12 De Octubre,2017
2 De Abril,1995
2 De Abril,1996
2 De Abril,1997
2 De Abril,1998
2 De Abril,1999
2 De Abril,2000
2 De Abril,2001
2 De Abril,2002
2 De Abril,2004
2 De Abril,2005
2 De Abril,2006
2 De Abril,2007
2 De Abril,2009
2 De Abril,2010
2 De Abril,2012
2 De Abril,2013
2 De Abril,2014
2 De Abril,2015
2 De Abril,2016
2 De Abril,2017
25 De Mayo,1981
25 De Mayo,1982
25 De Mayo,1983
25 De Mayo,1984
25 De Mayo,1985
25 De Mayo,1986
25 De Mayo,1987
25 De Mayo,1988
25 De Mayo,1989
25 De Mayo,1990
25 De Mayo,1991
25 De Mayo,1992
25 De Mayo,1993
25 De Mayo,1994
25 De Mayo,1995
25 De Mayo,1996
25 De Mayo,1997
25 De Mayo,1998
25 De Mayo,1999
25 De Mayo,2000
25 De Mayo,2001
25 De Mayo,2002
25 De Mayo,2003
25 De Mayo,2004
25 De Mayo,2005
25 De Mayo,2006
25 De Mayo,2007
25 De Mayo,2008
25 De Mayo,2009
25 De Mayo,2010
25 De Mayo,2011
25 De Mayo,2012
25 De Mayo,2013
25 De Mayo,2014
25 De Mayo,2015
25 De Mayo,2016
25 De Mayo,2017
9 De Julio,1981
9 De Julio,1982
9 De Julio,1983
9 De Julio,1984
9 De Julio,1985
9 De Julio,1986
9 De Julio,1987
9 De Julio,1988
9 De Julio,1989
9 De Julio,1990
9 De Julio,1991
9 De Julio,1992
9 De Julio,1993
9 De Julio,1994
9 De Julio,1995
9 De Julio,1996
9 De Julio,1997
9 De Julio,1998
9 De Julio,1999
9 De Julio,2000
9 De Julio,2001
9 De Julio,2002
9 De Julio,2003
9 De Julio,2004
9 De Julio,2005
9 De Julio,2006
9 De Julio,2007
9 De Julio,2008
9 De Julio,2009
9 De Julio,2010
9 De Julio,2011
9 De Julio,2012
9 De Julio,2013
9 De Julio,2014
9 De Julio,2015
9 De Julio,2016
9 De Julio,2017
Adolfo Alsina,1989
Adolfo Alsina,1990
Adolfo Alsina,1991
Adolfo Alsina,1992
Adolfo Alsina,1995
Adolfo Alsina,1996
Adolfo Alsina,1997
Adolfo Alsina,1998
Adolfo Alsina,2000
Adolfo Alsina,2001
Adolfo Alsina,2002
Adolfo Alsina,2004
Adolfo Alsina,2005
Adolfo Alsina,2006
Adolfo Alsina,2007
Adolfo Alsina,2009
Adolfo Alsina,2010
Adolfo Alsina,2011
Adolfo Alsina,2012
Adolfo Alsina,2013
Adolfo Alsina,2014
Adolfo Alsina,2015
Adolfo Alsina,2016
Adolfo Alsina,2017
Adolfo Gonzales Chaves,1983
Adolfo Gonzales Chaves,1984
Adolfo Gonzales Chaves,1985
Adolfo Gonzales Chaves,1989
Adolfo Gonzales Chaves,1991
Adolfo Gonzales Chaves,1993
Adolfo Gonzales Chaves,1994
Adolfo Gonzales Chaves,1995
Adolfo Gonzales Chaves,1996
Adolfo Gonzales Chaves,1997
Adolfo Gonzales Chaves,1999
Adolfo Gonzales Chaves,2000
Adolfo Gonzales Chaves,2001
Adolfo Gonzales Chaves,2002
Adolfo Gonzales Chaves,2003
Adolfo Gonzales Chaves,2004
Adolfo Gonzales Chaves,2005
Adolfo Gonzales Chaves,2006
Adolfo Gonzales Chaves,2007
Adolfo Gonzales Chaves,2009
Adolfo Gonzales Chaves,2010
Adolfo Gonzales Chaves,2011
Adolfo Gonzales Chaves,2012
Adolfo Gonzales Chaves,2013
Adolfo Gonzales Chaves,2014
Adolfo Gonzales Chaves,2015
Adolfo Gonzales Chaves,2016
Adolfo Gonzales Chaves,2017
Aguirre,1991
Aguirre,1993
Aguirre,1994
Aguirre,1996
Aguirre,1997
Aguirre,1998
Aguirre,2000
Aguirre,2001
Aguirre,2002
Aguirre,2003
Aguirre,2005
Aguirre,2006
Aguirre,2007
Aguirre,2009
Aguirre,2010
Aguirre,2011
Aguirre,2012
Aguirre,2013
Aguirre,2014
Aguirre,2015
Aguirre,2016
Aguirre,2017
Alberdi,1986
Alberdi,1987
Alberdi,1988
Alberdi,1989
Alberdi,1990
Alberdi,1996
Alberdi,1997
Alberdi,1998
Alberdi,2001
Alberdi,2002
Alberdi,2005
Alberdi,2006
Alberdi,2007
Alberdi,2008
Alberdi,2009
Alberdi,2010
Alberdi,2012
Alberdi,2013
Alberdi,2014
Alberdi,2015
Alberdi,2016
Alberdi,2017
Alberti,1981
Alberti,1982
Alberti,1983
Alberti,1984
Alberti,1985
Alberti,1986
Alberti,1987
Alberti,1988
Alberti,1989
Alberti,1990
Alberti,1991
Alberti,1993
Alberti,1994
Alberti,1995
Alberti,1996
Alberti,1997
Alberti,1998
Alberti,1999
Alberti,2000
Alberti,2001
Alberti,2002
Alberti,2003
Alberti,2004
Alberti,2005
Alberti,2006
Alberti,2007
Alberti,2009
Alberti,2010
Alberti,2011
Alberti,2012
Alberti,2013
Alberti,2014
Alberti,2015
Alberti,2016
Almirante Brown,1987
Almirante Brown,1988
Almirante Brown,1989
Almirante Brown,1990
Almirante Brown,1991
Almirante Brown,1992
Almirante Brown,1993
Almirante Brown,1994
Almirante Brown,1995
Almirante Brown,1996
Almirante Brown,1997
Almirante Brown,1998
Almirante Brown,1999
Almirante Brown,2000
Almirante Brown,2001
Almirante Brown,2002
Almirante Brown,2005
Almirante Brown,2006
Almirante Brown,2007
Almirante Brown,2008
Almirante Brown,2009
Almirante Brown,2010
Almirante Brown,2012
Almirante Brown,2013
Almirante Brown,2014
Almirante Brown,2015
Almirante Brown,2016
Almirante Brown,2017
Anta,1981
Anta,1982
Anta,1983
Anta,1984
Anta,1987
Anta,1989
Anta,1990
Anta,1991
Anta,1992
Anta,1993
Anta,1994
Anta,1996
Anta,1997
Anta,1998
Anta,1999
Anta,2000
Anta,2001
Anta,2002
Anta,2005
Anta,2006
Anta,2007
Anta,2008
Anta,2009
Anta,2010
Anta,2013
Anta,2014
Anta,2015
Anta,2016
Anta,2017
Arrecifes,1981
