departamento,campania_inicio
Arrecifes,1981
Arrecifes,1982
Arrecifes,1983
Arrecifes,1984
Arrecifes,1985
Arrecifes,1986
Arrecifes,1987
Arrecifes,1989
Arrecifes,1990
Arrecifes,1991
Arrecifes,1992
Arrecifes,1993
Arrecifes,1994
Arrecifes,1995
Arrecifes,1996
Arrecifes,1997
Arrecifes,1998
Arrecifes,1999
Arrecifes,2000
Arrecifes,2001
Arrecifes,2002
Arrecifes,2003
Arrecifes,2004
Arrecifes,2005
Arrecifes,2006
Arrecifes,2007
Arrecifes,2009
Arrecifes,2010
Arrecifes,2011
Arrecifes,2012
Arrecifes,2013
Arrecifes,2014
Arrecifes,2015
Arrecifes,2016
Baradero,1981
Baradero,1982
Baradero,1983
Baradero,1984
Baradero,1985
Baradero,1986
Baradero,1987
Baradero,1989
Baradero,1990
Baradero,1991
Baradero,1992
Baradero,1993
Baradero,1994
Baradero,1996
Baradero,1997
Baradero,1998
Baradero,1999
Baradero,2000
Baradero,2001
Baradero,2002
Baradero,2003
Baradero,2004
Baradero,2005
Baradero,2006
Baradero,2007
Baradero,2009
Baradero,2010
Baradero,2011
Baradero,2012
Baradero,2013
Baradero,2014
Baradero,2015
Baradero,2016
Belgrano,1981
Belgrano,1982
Belgrano,1983
Belgrano,1984
Belgrano,1985
Belgrano,1986
Belgrano,1987
Belgrano,1989
Belgrano,1990
Belgrano,1991
Belgrano,1992
Belgrano,1993
Belgrano,1994
Belgrano,1995
Belgrano,1997
Belgrano,1998
Belgrano,1999
Belgrano,2000
Belgrano,2001
Belgrano,2002
Belgrano,2003
Belgrano,2004
Belgrano,2005
Belgrano,2006
Belgrano,2007
Belgrano,2009
Belgrano,2010
Belgrano,2011
Belgrano,2012
Belgrano,2013
Belgrano,2014
Belgrano,2015
Belgrano,2016
Belgrano,2017
Capitan Sarmiento,1981
Capitan Sarmiento,1982
Capitan Sarmiento,1983
Capitan Sarmiento,1984
Capitan Sarmiento,1985
Capitan Sarmiento,1986
Capitan Sarmiento,1987
Capitan Sarmiento,1989
Capitan Sarmiento,1990
Capitan Sarmiento,1991
Capitan Sarmiento,1992
Capitan Sarmiento,1993
Capitan Sarmiento,1994
Capitan Sarmiento,1995
Capitan Sarmiento,1996
Capitan Sarmiento,1997
Capitan Sarmiento,1998
Capitan Sarmiento,1999
Capitan Sarmiento,2000
Capitan Sarmiento,2001
Capitan Sarmiento,2002
Capitan Sarmiento,2003
Capitan Sarmiento,2004
Capitan Sarmiento,2005
Capitan Sarmiento,2006
Capitan Sarmiento,2007
Capitan Sarmiento,2009
Capitan Sarmiento,2010
Capitan Sarmiento,2011
Capitan Sarmiento,2012
Capitan Sarmiento,2013
Capitan Sarmiento,2014
Capitan Sarmiento,2015
Capitan Sarmiento,2016
Carmen De Areco,1981
Carmen De Areco,1982
Carmen De Areco,1983
Carmen De Areco,1984
Carmen De Areco,1985
Carmen De Areco,1986
Carmen De Areco,1987
Carmen De Areco,1989
Carmen De Areco,1990
Carmen De Areco,1991
Carmen De Areco,1992
Carmen De Areco,1993
Carmen De Areco,1994
Carmen De Areco,1995
Carmen De Areco,1996
Carmen De Areco,1997
Carmen De Areco,1998
Carmen De Areco,2000
Carmen De Areco,2001
